ORDERNUMBER,ORDERDATE,YEAR,QUARTER,YEAR_MONTH,STATUS,DEALSIZE,CUSTOMERNAME,COUNTRY,CITY,ORDER_TOTAL
10420,2020-05-29,2020,2020Q2,2020-05,In Process,Medium,Souveniers And Things Co.,Australia,Chatswood,43971.43
10366,2020-01-10,2020,2020Q1,2020-01,Shipped,Medium,Royale Belge,Belgium,Charleroi,16628.16
10303,2019-10-06,2019,2019Q4,2019-10,Shipped,Small,"Iberia Gift Imports, Corp.",Spain,Sevilla,3220.88
10383,2020-02-22,2020,2020Q1,2020-02,Shipped,Medium,Euro Shopping Channel,Spain,Madrid,41249.74
10101,2018-01-09,2018,2018Q1,2018-01,Shipped,Medium,"Blauer See Auto, Co.",Germany,Frankfurt,11432.34
10243,2019-04-26,2019,2019Q2,2019-04,Shipped,Medium,Diecast Collectables,USA,Boston,7129.0
10409,2020-04-23,2020,2020Q2,2020-04,Shipped,Small,Handji Gifts& Co,Singapore,Singapore,2587.58
10133,2018-06-27,2018,2018Q2,2018-06,Shipped,Medium,Euro Shopping Channel,Spain,Madrid,22167.74
10235,2019-04-02,2019,2019Q2,2019-04,Shipped,Small,"Royal Canadian Collectables, Ltd.",Canada,Tsawassen,31302.5
10297,2019-09-16,2019,2019Q3,2019-09,Shipped,Small,"Clover Collections, Co.",Ireland,Dublin,18971.96
10353,2019-12-04,2019,2019Q4,2019-12,Shipped,Medium,Gift Ideas Corp.,USA,Glendale,29343.35
10401,2020-04-03,2020,2020Q2,2020-04,On Hold,Medium,Tekni Collectables Inc.,USA,Newark,46519.0
10255,2019-06-04,2019,2019Q2,2019-06,Shipped,Medium,Mini Caravy,France,Strasbourg,5416.9
10421,2020-05-29,2020,2020Q2,2020-05,In Process,Medium,Mini Gifts Distributors Ltd.,USA,San Rafael,7261.75
10257,2019-06-14,2019,2019Q2,2019-06,Shipped,Medium,The Sharp Gifts Warehouse,USA,San Jose,16128.1
10423,2020-05-30,2020,2020Q2,2020-05,In Process,Small,Petit Auto,Belgium,Bruxelles,8411.95
10269,2019-07-16,2019,2019Q3,2019-07,Shipped,Small,Salzburg Collectables,Austria,Salzburg,6693.280000000001
10392,2020-03-10,2020,2020Q1,2020-03,Shipped,Small,Mini Auto Werke,Austria,Graz,8775.16
10130,2018-06-16,2018,2018Q2,2018-06,Shipped,Medium,Auto-Moto Classics Inc.,USA,Brickhaven,7277.35
10128,2018-06-06,2018,2018Q2,2018-06,Shipped,Medium,Euro Shopping Channel,Spain,Madrid,17448.08
10166,2018-10-21,2018,2018Q4,2018-10,Shipped,Medium,FunGiftIdeas.com,USA,New Bedford,11861.689999999999
10177,2018-11-07,2018,2018Q4,2018-11,Shipped,Medium,CAF Imports,Spain,Madrid,34311.35
10221,2019-02-18,2019,2019Q1,2019-02,Shipped,Medium,Petit Auto,Belgium,Bruxelles,18800.09
10232,2019-03-20,2019,2019Q1,2019-03,Shipped,Medium,giftsbymail.co.uk,UK,Cowes,26906.68
10394,2020-03-15,2020,2020Q1,2020-03,Shipped,Medium,Euro Shopping Channel,Spain,Madrid,22353.86
10326,2019-11-09,2019,2019Q4,2019-11,Shipped,Medium,"Volvo Model Replicas, Co",Sweden,Lule,20146.32
10252,2019-05-26,2019,2019Q2,2019-05,Shipped,Small,Auto Canal Petit,France,Paris,27931.21
10265,2019-07-02,2019,2019Q3,2019-07,Shipped,Medium,"Australian Collectables, Ltd",Australia,Glen Waverly,12334.82
10290,2019-09-07,2019,2019Q3,2019-09,Shipped,Small,Auto-Moto Classics Inc.,USA,Brickhaven,7673.379999999999
10323,2019-11-05,2019,2019Q4,2019-11,Shipped,Medium,"Blauer See Auto, Co.",Germany,Frankfurt,9214.970000000001
10330,2019-11-16,2019,2019Q4,2019-11,Shipped,Medium,Cruz & Sons Co.,Philippines,Makati City,15928.75
10355,2019-12-07,2019,2019Q4,2019-12,Shipped,Medium,Euro Shopping Channel,Spain,Madrid,29884.13
10146,2018-09-03,2018,2018Q3,2018-09,Shipped,Medium,Gift Ideas Corp.,USA,Glendale,7600.12
10264,2019-06-30,2019,2019Q2,2019-06,Shipped,Small,Gifts4AllAges.com,USA,Boston,19548.35
10286,2019-08-28,2019,2019Q3,2019-08,Shipped,Small,"La Corne D'abondance, Co.",France,Paris,2173.6
10249,2019-05-08,2019,2019Q2,2019-05,Shipped,Medium,Cambridge Collectables Co.,USA,Cambridge,14380.92
10328,2019-11-12,2019,2019Q4,2019-11,Shipped,Medium,Rovelli Gifts,Italy,Bergamo,41696.69
10415,2020-05-09,2020,2020Q2,2020-05,Disputed,Medium,"Australian Collectables, Ltd",Australia,Glen Waverly,14378.09
10152,2018-09-25,2018,2018Q3,2018-09,Shipped,Medium,"Australian Gift Network, Co",Australia,South Brisbane,10640.29
10213,2019-01-22,2019,2019Q1,2019-01,Shipped,Medium,"Double Decker Gift Stores, Ltd",UK,London,8477.22
10315,2019-10-29,2019,2019Q4,2019-10,Shipped,Medium,La Rochelle Gifts,France,Nantes,20719.91
10267,2019-07-07,2019,2019Q3,2019-07,Shipped,Small,Muscle Machine Inc,USA,NYC,23252.18
10279,2019-08-09,2019,2019Q3,2019-08,Shipped,Small,Euro Shopping Channel,Spain,Madrid,21986.27
10158,2018-10-10,2018,2018Q4,2018-10,Shipped,Small,Baane Mini Imports,Norway,Stavern,1474.66
10340,2019-11-24,2019,2019Q4,2019-11,Shipped,Medium,Enaco Distributors,Spain,Barcelona,30183.35
10345,2019-11-25,2019,2019Q4,2019-11,Shipped,Small,Atelier graphique,France,Nantes,2311.68
10190,2018-11-19,2018,2018Q4,2018-11,Shipped,Medium,Euro Shopping Channel,Spain,Madrid,10986.56
10368,2020-01-19,2020,2020Q1,2020-01,Shipped,Medium,Mini Gifts Distributors Ltd.,USA,San Rafael,15702.09
10335,2019-11-19,2019,2019Q4,2019-11,Shipped,Small,Mini Gifts Distributors Ltd.,USA,San Rafael,8395.57
10154,2018-10-02,2018,2018Q4,2018-10,Shipped,Small,Boards & Toys Co.,USA,Glendale,5142.15
10233,2019-03-29,2019,2019Q1,2019-03,Shipped,Medium,Tekni Collectables Inc.,USA,Newark,8722.119999999999
10385,2020-02-28,2020,2020Q1,2020-02,Shipped,Medium,Mini Gifts Distributors Ltd.,USA,San Rafael,5098.48
10242,2019-04-20,2019,2019Q2,2019-04,Shipped,Small,Microscale Inc.,USA,NYC,1698.78
10408,2020-04-22,2020,2020Q2,2020-04,Shipped,Small,"Tokyo Collectables, Ltd",Japan,Minato-ku,553.95
10317,2019-11-02,2019,2019Q4,2019-11,Shipped,Small,Technics Stores Inc.,USA,Burlingame,2916.2
10387,2020-03-02,2020,2020Q1,2020-03,Shipped,Medium,"Dragon Souveniers, Ltd.",Singapore,Singapore,4175.6
10364,2020-01-06,2020,2020Q1,2020-01,Shipped,Small,Marseille Mini Autos,France,Marseille,2317.44
10116,2018-04-11,2018,2018Q2,2018-04,Shipped,Small,Royale Belge,Belgium,Charleroi,1711.26
10144,2018-08-13,2018,2018Q3,2018-08,Shipped,Small,Royale Belge,Belgium,Charleroi,1637.2
10156,2018-10-08,2018,2018Q4,2018-10,Shipped,Small,Euro Shopping Channel,Spain,Madrid,5774.48
10199,2018-12-01,2018,2018Q4,2018-12,Shipped,Small,West Coast Collectables Co.,USA,Burbank,8234.56
10397,2020-03-28,2020,2020Q1,2020-03,Shipped,Small,Alpha Cognac,France,Toulouse,15139.12
10352,2019-12-03,2019,2019Q4,2019-12,Shipped,Small,Auto-Moto Classics Inc.,USA,Brickhaven,11528.529999999999
10118,2018-04-21,2018,2018Q2,2018-04,Shipped,Medium,Enaco Distributors,Spain,Barcelona,4219.2
10294,2019-09-10,2019,2019Q3,2019-09,Shipped,Medium,Online Mini Collectables,USA,Brickhaven,4692.6
